content,client,total op,union,split,delay(u),delay(s),time(u)(ms),time(s)(ms),mem
"22,30/47,80/225,890/12,34",2,1000,515,485,80ms,50ms,19,19,4.48m+1.79m+2.84m
,2,2000,986,1014,80ms,50ms,70,70,15m+6.56m+9.6m
,2,2000,400,1600,80ms,50ms,13,87,15.2m+9.23m+7.17m
,2,10000,5002,4998,80ms,50ms,1460,1960,1.67g+0.66g+0.93g
,,,,,,,,,
,3,1500,727,723,80ms,50ms,55,56,9.19m+4.71m+3.83m+3.25m
,,,,,,,,,
,6,600,300,300,0,0,42.89,42.76,20+3.18+5.07+4.59+3.49+5.5+2.58
,6,2400,1201,1199,0,0,705.28,695.93,314.96M+50.81M+48.67M+53.08M+50.24M+47.46M+54.41M
,6,600,301,299,0,0,44,41.91,21.5M+5.09M+2.97M+3.69M+3.72M+5.64M+4.64M
,6,1200,571,629,0,0,177.14,166.01,79.88M+13.83M+12.41M+11.55M+12.2M+16.68M+14.62M
	6	1200	624	576	0	0	3.03	2.80	78.25M+14.1M+14.38M+12.14M+12.94M+14.73M+11.53M
	6	2400	1192	1208	0	0	10.72	9.87	314.83M+47.89M+49.66M+46.71M+51.86M+49.44M+59.11M
